gene	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv
KLHL7	0	26	2	0	1	4.4802	2.6046	2.6046	0.6317
TRPC6	11	45	1	1	6	1.7288	0.7841	0.7841	3.2794
AMBN	3	23	0	0	2	2.4618	0	0	2.1423
TBX22	11	17	6	1	3	0.868	3.446	3.446	2.5697
MTRNR2L7	0	5	0	0	1	5.0592	0	0	17.8461
KRTAP15-1	0	10	0	0	1	4.7073	0	0	3.992
BCHE	9	34	3	0	7	1.4961	1.1991	1.1991	4.4033
CAPN9	11	37	0	0	1	1.7721	0	0	0.6616
TYROBP	1	9	0	0	1	4.3842	0	0	4.1901
MAP2K7	5	18	1	3	2	2.0751	6.293	6.293	2.4853
RBMXL2	18	38	0	0	1	1.9887	0	0	2.9236
AP001094.1	0	0	0	0	2	0	0	0	15.8568
CMTR2	2	10	4	0	5	1.0443	5.5077	5.5077	2.6592
CDH19	7	38	0	0	3	1.8245	0	0	1.4691
TRIM24	3	29	5	3	0	2.4734	5.6962	5.6962	0
TMPRSS12	5	3	0	0	3	0.2617	0	0	3.639
WNK4	15	23	0	0	7	0.6954	0	0	2.7117
SLC19A2	4	13	4	1	3	1.363	5.4532	5.4532	2.7868
IRF2BP2	6	24	3	0	2	2.1338	8.2799	8.2799	1.6593
ITGB1BP1	1	1	0	0	3	0.3033	0	0	8.0822
YIPF6	2	12	0	0	2	3.0109	0	0	3.981
CYLC1	16	59	4	0	6	1.5591	1.1107	1.1107	3.8039
LPCAT2	3	7	2	2	4	0.8927	4.0924	4.0924	3.6664
PABPC4L	10	33	0	0	1	2.2853	0	0	0.997
HDAC9	22	85	7	4	5	1.7714	1.7424	1.7424	2.0983
TMEM50B	1	1	1	0	3	0.3838	2.172	2.172	8.9267
SOCS3	4	6	0	0	4	0.9596	0	0	7.7679
IPO9	5	13	4	4	1	1.0023	4.8632	4.8632	0.476
CREBRF	7	19	0	0	5	1.1641	0	0	3.9153
NEK8	11	8	0	0	4	0.4297	0	0	2.7453
TNFRSF4	6	3	0	0	3	0.341	0	0	5.54
DDX43	3	17	4	1	5	1.5087	3.1696	3.1696	4.0433
AL645608.1	1	0	1	2	0	0	7.3407	7.3407	0
KLHDC1	2	10	0	1	5	1.6953	0.9667	0.9667	5.6152
SLC35D2	4	0	0	0	1	0	0	0	1.4782
SLC39A12	13	38	2	0	5	1.7131	0.7893	0.7893	3.5377
HTR1A	13	40	0	0	0	2.2538	0	0	0
SLC12A2	17	19	1	1	8	0.5724	0.5794	0.5794	3.329
TCP1	5	5	0	0	4	0.3848	0	0	3.7283
RXFP2	8	34	3	2	4	2.2015	2.4345	2.4345	2.5445
TARBP2	5	8	0	0	4	0.7356	0	0	5.6715
BRIP1	6	44	3	3	7	2.073	2.2866	2.2866	2.6057
FXYD5	6	0	0	1	0	0	1.0338	1.0338	0
NLRP11	9	60	4	1	0	2.5248	2.5363	2.5363	0
ST8SIA6	2	22	0	2	2	3.2389	3.3477	3.3477	2.3413
DYNC1I1	11	36	0	0	2	1.409	0	0	1.3422
LRIG1	4	33	1	0	4	2.8073	1.0029	1.0029	1.4274
TBC1D32	7	35	3	1	4	2.0815	1.6048	1.6048	3.536
C2orf68	0	5	0	0	3	2.0238	0	0	8.2518
KIRREL2	9	18	2	3	5	1.0681	3.3545	3.3545	3.4326
MUC6	15	40	1	0	12	1.3124	0.4688	0.4688	3.2131
LCE1B	1	6	2	0	1	2.1929	14.0794	14.0794	7.6656
ICOS	0	7	1	2	1	3.3441	10.4308	10.4308	2.3535
TCF12	3	6	2	4	1	0.5535	4.1808	4.1808	0.6477
RBM43	5	7	1	0	5	0.9143	1.5154	1.5154	6.3007
ISY1	2	8	3	1	3	1.6316	4.3446	4.3446	4.8361
TRIB1	4	18	0	0	3	2.2171	0	0	4.0526
CD93	12	25	3	0	6	1.2071	2.2413	2.2413	4.6799
JMJD4	10	13	3	2	2	0.9237	5.2499	5.2499	2.2113
AMER3	23	67	4	0	7	1.4757	1.4038	1.4038	3.5201
NIPBL	14	67	12	4	11	1.3819	2.5129	2.5129	1.8547
DCAF4L2	15	56	4	0	0	2.2843	2.3043	2.3043	0
SDR16C5	2	8	2	2	2	1.3477	7.059	7.059	3.1094
FOSL1	0	4	1	2	2	1.1904	10.0137	10.0137	3.1443
SPZ1	3	8	3	0	4	1.0198	3.9123	3.9123	4.6829
BCL9	13	41	2	0	11	1.2097	0.8992	0.8992	3.807
OCIAD2	0	11	1	0	1	4.6901	2.288	2.288	3.6173
BRD2	5	24	0	0	5	1.761	0	0	2.5565
HNMT	4	0	1	0	0	0	1.0052	1.0052	0
FIGN	14	33	3	1	8	1.1352	1.9602	1.9602	4.0489
PALM2-AKAP2	18	19	2	0	7	0.4931	0.5981	0.5981	2.6583
RNASEH2C	3	1	1	1	1	0.1884	6.0606	6.0606	3.0213
USP13	4	34	4	1	3	2.713	3.2488	3.2488	1.6084
KLF6	2	8	1	0	4	1.3593	1.9668	1.9668	7.3099
PYHIN1	10	40	1	0	1	2.33	0.5743	0.5743	0.9902
FAR2	11	7	0	0	3	0.3929	0	0	2.7067
KCNC2	27	44	0	0	4	1.1634	0	0	3.0884
KRT33B	6	24	0	0	2	2.1706	0	0	2.5198
ZSWIM2	8	38	3	0	2	2.513	1.5475	1.5475	1.5813
CSMD1	111	323	21	12	9	1.3843	1.2855	1.2855	1.0516
EIF3J	0	2	1	1	3	0.6412	5.0026	5.0026	5.5466
CANT1	6	10	1	0	5	1.0926	1.786	1.786	6.1053
CSPP1	10	24	3	0	10	0.8057	0.7639	0.7639	3.9486
BCORL1	16	37	7	0	9	1.0655	2.753	2.753	2.5887
PRR13	1	4	0	0	3	1.4532	0	0	9.9894
PCDHB17	14	47	0	0	1	1.9305	0	0	0.8557
PAK7	26	65	6	1	4	1.6165	1.9782	1.9782	2.8998
RBMY1F	1	0	0	0	0	0	0	0	0
BNIP2	0	17	2	1	1	4.0271	6.419	6.419	1.1133
DNAJC13	8	53	2	0	6	1.9468	0.5148	0.5148	1.2709
NEUROD4	12	31	0	0	1	2.1328	0	0	1.3064
AL121963.1	0	2	1	1	2	0.5639	6.3126	6.3126	6.4167
COL9A1	9	61	1	3	3	2.1906	1.0904	1.0904	1.4224
USMG5	0	2	0	0	2	2.8983	0	0	15.7761
MECP2	3	12	4	0	2	1.4788	8.0309	8.0309	2.0766
ASXL1	14	38	6	0	11	1.1088	2.1475	2.1475	3.1743
KLHL4	20	49	2	0	6	1.2388	0.456	0.456	3.7317
KIF2B	36	73	1	0	3	1.5249	0.3495	0.3495	2.2251
CSNK2B-LY6G5B-1181	1	1	2	1	1	0.2919	7.0844	7.0844	2.0722
WDFY4	55	167	7	4	1	1.579	0.994	0.994	0.1445
CASC3	8	15	4	1	5	0.8003	2.5491	2.5491	3.4984
ARHGAP17	17	14	1	1	5	0.4584	0.5701	0.5701	2.8349
CIAPIN1	2	1	0	0	3	0.174	0	0	4.4567
BRSK1	12	34	4	1	5	1.5901	2.8603	2.8603	3.1889
TMEM25	4	9	0	1	5	1.0637	1.3231	1.3231	6.1642
CIC	19	27	0	0	8	0.7216	0	0	2.4735
ASPH	9	16	0	0	5	0.8288	0	0	2.9226
FOXP2	7	35	1	1	5	1.8853	0.6575	0.6575	2.6761
TRPC4AP	9	6	3	2	0	0.3197	2.1724	2.1724	0
CPEB2	12	20	1	1	9	0.8456	1.1309	1.1309	4.109
KIF3A	0	12	0	0	5	1.7959	0	0	3.7085
ZBTB20	17	29	6	0	3	1.1544	4.6557	4.6557	1.7454
CBX4	3	12	0	0	6	1.6628	0	0	4.147
AKAP2	18	19	2	0	7	0.5278	0.6403	0.6403	2.9112
ZNF101	9	4	0	0	0	0.2175	0	0	0
TP73	5	25	0	2	3	2.559	2.7827	2.7827	2.4734
DEAF1	8	16	3	0	5	1.2249	2.8429	2.8429	4.593
ZNF563	3	13	0	0	4	1.4026	0	0	4.3332
COL6A5	38	158	9	5	8	1.6042	1.3466	1.3466	1.4188
CFHR2	4	18	0	0	2	1.9646	0	0	3.4691
NGRN	2	1	0	0	3	0.1975	0	0	5.1678
OR10G9	11	32	0	0	1	2.2483	0	0	1.7104
DEPDC5	9	43	6	4	4	1.8654	3.4652	3.4652	1.2681
PXN	12	6	0	0	3	0.3322	0	0	1.8545
TNRC6B	13	34	9	2	7	0.9087	2.5251	2.5251	1.7398
RGPD6	0	0	0	0	0	0	0	0	0
KIAA0226	4	35	2	3	1	2.8607	4.0339	4.0339	0.4817
NT5C	0	0	1	1	0	0	5.9758	5.9758	0
ZNF70	8	2	0	0	0	0.1429	0	0	0
RCOR2	5	3	0	0	3	0.2524	0	0	2.7869
OR6C75	7	16	0	0	4	1.2393	0	0	5.8437
ZMAT4	7	20	0	1	1	2.9141	1.1104	1.1104	1.9439
ITGA1	8	35	0	0	2	1.5684	0	0	0.778
FOXR2	2	20	4	0	2	2.3488	5.3119	5.3119	2.9247
ABI3	3	21	1	0	2	2.9528	1.7282	1.7282	2.7863
HIST1H2BK	2	2	1	0	2	0.5492	10.5344	10.5344	8.0199
MAEL	7	29	6	0	1	2.5161	3.4269	3.4269	1.1376
HNRNPAB	7	8	1	2	4	0.8383	2.8016	2.8016	4.9621
ADAM10	12	7	1	0	1	0.2622	0.2981	0.2981	0.6122
KANSL1	6	21	8	0	2	1.1659	4.5718	4.5718	0.8888
CSDE1	4	18	6	2	1	1.3635	5.2189	5.2189	0.5356
RP11-351M8.1	3	0	0	2	0	0	6.4796	6.4796	0
IVNS1ABP	3	13	6	2	1	1.103	4.7602	4.7602	0.7266
PLCZ1	11	44	3	1	2	2.2367	1.4807	1.4807	1.841
SLC35G5	1	18	1	0	0	4.3004	4.515	4.515	0
AJAP1	16	29	1	0	5	1.1686	0.5867	0.5867	5.4375
CYP4F3	8	18	3	2	3	1.1797	3.8272	3.8272	3.68
LRRC53	18	66	5	1	6	1.6448	1.6181	1.6181	2.8612
EIF4A2	4	10	0	1	6	1.1042	0.8151	0.8151	5.1641
HIC1	15	9	0	0	4	0.403	0	0	2.4736
BBC3	5	3	0	0	3	0.3567	0	0	5.2898
HIST1H2AC	3	5	3	0	0	1.0955	17.2679	17.2679	0
CCT4	2	11	1	3	4	1.5762	4.3096	4.3096	3.5506
ZNF770	1	8	3	0	6	0.851	3.0685	3.0685	3.6241
MED23	10	22	4	3	8	0.8947	2.1378	2.1378	2.9796
KHDRBS1	2	8	1	4	0	0.9685	7.6389	7.6389	0
RHOJ	1	8	1	2	1	2.4855	10.3481	10.3481	2.363
OR6C70	11	7	0	0	3	0.4114	0	0	3.3628
AVPR1B	5	25	0	0	1	2.6912	0	0	1.1686
SMIM17	1	9	0	0	1	3.9638	0	0	4.2065
TSGA13	5	3	2	1	2	0.3417	2.7419	2.7419	3.3401
DHX38	6	23	7	1	3	1.3674	4.4831	4.4831	1.2042
CPXM2	13	29	8	1	2	1.0837	3.7342	3.7342	1.1564
TRIM49	3	26	1	1	1	3.1981	2.171	2.171	1.5088
ATOH1	2	11	1	0	4	1.7308	4.3381	4.3381	5.2254
OR2T33	16	33	0	0	0	2.2534	0	0	0
STK24	5	2	2	1	1	0.1922	2.3746	2.3746	1.0327
MAP3K15	12	46	1	1	6	1.8098	0.7261	0.7261	2.265
RAPGEF2	21	26	3	0	6	0.485	0.4974	0.4974	1.9138
F3	5	1	2	1	0	0.1424	3.6223	3.6223	0
MASP1	6	29	2	0	4	2.2545	1.5504	1.5504	2.7962
C1orf27	6	6	1	0	4	0.4011	0.4302	0.4302	4.1486
CORT	0	0	0	0	2	0	0	0	8.9336
USP6	11	32	0	0	5	1.1779	0	0	1.6861
BMPR1A	1	14	4	0	4	1.9751	4.2127	4.2127	3.4145
CHGA	5	15	0	0	4	1.3354	0	0	4.1913
MUSK	8	37	5	2	2	2.1296	3.778	3.778	1.0757
WDR3	5	14	6	2	1	0.9836	4.4135	4.4135	0.5057
ANKRD35	9	41	3	0	6	1.8956	1.334	1.334	2.7729
H2AFY2	7	7	1	1	4	0.6574	2.5092	2.5092	4.8763
BRE	1	13	1	0	4	2.2738	1.1733	1.1733	4.5329
TVP23A	2	3	3	1	1	0.8989	7.3624	7.3624	2.4349
CPNE8	1	22	2	4	2	2.7158	5.2279	5.2279	1.5004
TXN	0	4	0	0	2	2.9581	0	0	9.0349
ST18	13	56	2	1	5	1.8082	0.9306	0.9306	2.3351
MBD1	6	6	3	2	1	0.4373	3.2801	3.2801	0.7639
OR2T1	4	28	1	0	1	2.9776	1.582	1.582	1.5063
POLR3B	5	27	8	1	1	1.8171	4.76	4.76	0.4193
ZNF626	2	17	0	0	2	2.936	0	0	2.0477
RPAP3	2	14	0	0	5	1.3253	0	0	3.3326
CORO2B	3	25	0	1	1	3.2438	1.3599	1.3599	0.9971
MAGI2	22	70	5	7	3	1.526	3.02	3.02	0.8781
CTD-2228K2.5	3	0	0	1	1	0	3.5639	3.5639	4.046
MB21D2	4	22	0	0	2	2.5552	0	0	1.9639
LZTR1	8	19	0	1	7	1.2724	0.7334	0.7334	4.2889
FBXL22	2	3	0	0	4	0.6224	0	0	6.2151
EGFR	26	70	2	1	6	1.5149	0.6166	0.6166	2.1583
DNAAF3	1	25	1	0	0	3.9067	1.6905	1.6905	0
RIT2	3	16	1	0	2	2.705	1.511	1.511	4.5137
SLC17A6	20	50	0	1	3	1.4645	0.2677	0.2677	2.3542
MAN2A1	5	25	0	0	4	1.5968	0	0	1.8584
PHLDB3	4	25	1	0	4	2.2576	0.9047	0.9047	2.9712
MS4A6A	4	15	0	0	2	2.3042	0	0	3.9967
DLG1	3	24	1	1	7	1.8249	1.0104	1.0104	3.3951
NELL1	15	51	2	0	3	1.7427	0.5134	0.5134	1.7907
E2F5	3	5	0	0	4	0.798	0	0	5.8158
KLF5	1	19	0	0	1	3.486	0	0	0.9557
DDX50	5	8	7	0	1	0.5546	3.1153	3.1153	0.6792
SNURF	1	8	1	0	0	5.8943	4.715	4.715	0
ECHDC1	2	2	1	1	3	0.3834	3.1687	3.1687	4.2801
PRIMPOL	2	11	1	0	6	1.1365	0.7979	0.7979	4.9488
ATP13A3	8	22	0	0	6	1.0135	0	0	2.2618
PLK2	0	17	2	2	2	3.2241	6.5541	6.5541	1.3776
SULF1	6	36	1	0	2	2.3199	0.5496	0.5496	1.4134
C6orf222	19	11	0	1	2	0.369	0.3359	0.3359	1.3771
TLE3	15	13	2	1	5	0.5414	1.2424	1.2424	3.4031
SFRP2	3	18	0	0	1	3.1306	0	0	1.5319
OR2L2	7	31	1	0	2	2.3245	1.2734	1.2734	2.9464
TBR1	8	27	2	3	1	1.8104	6.1911	6.1911	0.6748
SUPT20H	1	12	4	0	6	1.5791	3.228	3.228	3.4707
IFIH1	8	25	0	0	5	1.113	0	0	2.3847
MTOR	10	61	3	3	3	2.3519	1.9912	1.9912	0.5378
PDX1	6	16	1	0	3	1.9523	2.1365	2.1365	5.4264
GPRIN3	14	10	0	0	1	0.3495	0	0	0.6207
GNAS	29	74	3	2	7	1.4754	1.5394	1.5394	2.8549
CANX	4	19	1	0	5	1.6882	0.6635	0.6635	4.1146
ZNF43	12	42	2	0	6	1.5387	0.7775	0.7775	3.3925
GCLC	1	19	0	0	2	2.7786	0	0	1.4759
PCSK5	24	88	0	4	4	1.674	0.6946	0.6946	1.0723
ATXN3	1	13	2	2	2	2.7127	4.9288	4.9288	2.821
FBL	5	3	0	0	3	0.3622	0	0	4.3277
GPR133	34	31	1	0	3	0.6233	0.1767	0.1767	1.7054
SBK3	9	11	4	1	0	0.909	6.6992	6.6992	0
HIST1H4B	4	14	0	0	1	3.005	0	0	3.7544
TMEM55A	3	6	3	1	2	0.8729	4.4232	4.4232	4.0997
RPF2	4	3	1	1	3	0.4032	1.9134	1.9134	5.0031
AFM	9	27	0	0	3	1.3555	0	0	2.2026
IYD	5	6	2	2	2	0.5847	3.3957	3.3957	3.3257
ZNF630	4	25	0	0	2	2.2211	0	0	1.4104
ASXL2	14	44	7	2	6	1.3177	2.9237	2.9237	2.0649
OR5AC2	5	29	2	0	1	2.8185	2.9527	2.9527	1.2452
ZNF541	27	32	0	0	1	0.6103	0	0	0.3223
LIPE	12	14	0	0	6	0.5746	0	0	2.5542
HELLS	4	11	4	1	6	0.8265	2.3817	2.3817	3.2044
SEC24C	11	28	0	0	5	1.21	0	0	2.2357
RP11-1021N1.1	2	0	1	0	1	0	5.3884	5.3884	3.4373
CHUK	2	14	3	2	5	1.4947	3.5673	3.5673	3.0988
ST6GAL2	28	58	0	0	0	1.5285	0	0	0
AP003068.23	4	3	0	0	3	0.4184	0	0	6.1427
PIGO	13	20	1	2	8	0.9003	1.5855	1.5855	3.8599
SYNE1	108	326	37	17	20	1.2377	1.5552	1.5552	1.2772
AC005082.1	3	1	0	1	2	0.503	4.2598	4.2598	11.1547
SPRR2B	0	10	0	0	0	5.3803	0	0	0
KCNH2	18	36	5	1	5	1.1527	3.4453	3.4453	2.3164
KCNV1	17	49	0	1	1	2.0761	0.7274	0.7274	0.8726
DNM2	6	20	0	0	5	1.5673	0	0	2.9588
TAF4	16	18	6	0	1	0.7029	3.9171	3.9171	0.4706
MEPCE	4	16	2	1	5	1.3509	3.9133	3.9133	3.5064
SPAG9	4	23	3	1	4	1.9899	2.6352	2.6352	3.5312
LRCH4	13	23	3	1	6	0.9389	1.7909	1.7909	4.2173
SDK2	42	55	4	5	11	0.7191	1.2883	1.2883	2.3369
TMEM257	0	7	0	0	0	6.7823	0	0	0
MFSD6L	5	11	4	0	2	1.1775	7.0787	7.0787	1.7313
CLDN17	6	11	3	0	3	1.0726	3.2381	3.2381	5.6905
SENP1	5	15	1	0	6	1.1968	0.4844	0.4844	4.3022
RSPH10B	7	3	1	1	0	0.1753	1.1626	1.1626	0
EDN1	2	9	0	1	3	1.9517	2.0039	2.0039	6.7276
ISY1-RAB43	2	8	3	1	3	1.2988	3.8864	3.8864	4.3363
ATP2A1	11	30	0	0	4	1.5483	0	0	2.1148
IGSF3	18	27	3	0	9	0.8251	1.1478	1.1478	3.6962
DUSP6	5	11	0	0	5	1.2732	0	0	4.5917
DCSTAMP	14	35	3	0	4	1.6737	1.4997	1.4997	3.903
RP11-343C2.9	1	6	0	0	1	4.2531	0	0	7.3752
ZRANB2	2	6	2	3	2	0.7399	3.7815	3.7815	2.9025
ZCCHC11	11	32	2	0	13	0.7855	0.3809	0.3809	2.8058
ZNF330	5	6	0	0	3	0.5196	0	0	4.271
KCNA4	16	53	1	0	2	1.957	0.6382	0.6382	1.4097
ANO5	11	45	2	0	5	1.5625	0.4679	0.4679	2.2877
C8B	7	42	6	0	1	2.4979	2.8163	2.8163	0.7315
PTPN18	6	7	0	0	3	0.8261	0	0	6.6037
HIGD1B	1	0	2	0	0	0	12.4916	12.4916	0
SLC52A3	8	15	0	0	4	1.411	0	0	4.7902
L3MBTL2	13	7	1	1	1	0.2749	0.7337	0.7337	0.6267
HSP90AB1	8	9	0	0	4	0.4482	0	0	2.4795
EPPIN-WFDC6	4	3	0	1	3	0.4909	1.1717	1.1717	7.1796
MICU3	6	16	5	0	4	1.2986	3.3956	3.3956	3.2839
SSX1	1	7	0	0	1	3.8942	0	0	6.091
SYCP2	8	51	6	0	7	1.9684	1.522	1.522	2.2141
TET2	21	37	8	0	9	0.6683	1.5169	1.5169	2.1047
WAC	5	12	4	3	1	0.9327	4.4062	4.4062	0.8184
MRPL24	2	2	0	0	3	0.5331	0	0	7.0601
LDLRAP1	4	5	0	0	4	0.8032	0	0	5.474
LYPLA2	2	7	0	0	3	1.6786	0	0	6.1627
RUNDC3B	3	24	2	2	3	2.5156	3.1113	3.1113	2.4016
OR4F17	2	12	0	0	0	4.3627	0	0	0
C11orf86	3	0	0	0	1	0	0	0	4.0398
LILRA5	3	20	1	0	1	3.0747	1.3252	1.3252	2.3955
ZNF730	9	30	3	2	4	1.5371	2.5418	2.5418	3.7797
OR8B2	5	19	1	0	3	2.0888	2.5678	2.5678	4.2809
DCN	3	19	1	0	3	2.4066	1.1381	1.1381	3.5237
IL1B	3	7	1	0	4	1.0867	1.3389	1.3389	6.5682
SUSD2	15	10	0	0	1	0.3816	0	0	0.5701
FTCDNL1	0	4	2	1	1	1.5888	10.384	10.384	3.3246
ZNF300	3	20	0	0	3	2.0543	0	0	2.0307
RGPD3	11	48	3	0	3	1.973	1.0208	1.0208	2.1401
BRCA2	17	68	9	1	19	1.1547	1.6917	1.6917	2.6626
FAM90A26	2	0	0	0	0	0	0	0	0
MTUS2	33	98	2	0	1	1.5148	0.3795	0.3795	0.3376
TNS1	23	48	0	0	5	1.0117	0	0	1.4229
PRDX1	1	0	0	0	2	0	0	0	4.6681
DNAJA2	1	9	0	0	4	1.6112	0	0	4.3487
HIST1H3E	1	14	0	0	1	3.4695	0	0	2.9657
AIM1	12	42	0	0	4	1.3394	0	0	1.1246
PHF1	2	4	0	1	5	0.4767	1.1738	1.1738	4.3519
EPPIN	4	3	0	1	3	0.4784	1.142	1.142	6.8871
CTSD	3	12	2	0	3	2.1137	4.643	4.643	3.7236
ADH4	0	14	0	0	2	3.1158	0	0	2.4858
FAM171A1	26	29	0	0	3	0.672	0	0	1.5947
LRRC37A2	9	7	0	0	1	0.2991	0	0	0.3334
CYP2C9	12	34	0	0	0	1.971	0	0	0
PCMTD2	3	9	2	1	3	1.3468	4.8077	4.8077	4.0025
MS4A2	1	14	2	0	2	2.905	3.7204	3.7204	3.6946
MAGEA8	3	13	1	0	1	3.2294	3.8909	3.8909	3.3119
TMEM69	6	2	0	0	2	0.239	0	0	3.8152
ADAM17	1	27	0	1	0	3.618	1.2112	1.2112	0
INTS1	27	36	0	0	6	0.777	0	0	1.3346
ITIH5	22	47	0	0	3	1.268	0	0	1.4108
CHRM2	20	42	0	0	3	1.3663	0	0	2.5822
SPRED3	6	13	1	0	5	0.8889	1.0903	1.0903	5.3243
OR6P1	19	30	0	0	3	1.3637	0	0	4.5749
C8orf37	1	0	2	0	0	0	4.8533	4.8533	0
NFE2L3	12	22	0	0	6	0.8866	0	0	3.1603
DEFB132	0	3	2	0	1	2.1726	15.0276	15.0276	4.1765
HLA-C	2	3	0	0	4	0.561	0	0	5.1546
APITD1-CORT	0	0	0	0	2	0	0	0	6.0157
ATP1A1	10	11	1	0	7	0.5457	0.4715	0.4715	3.1784
NOVA1	12	28	4	0	4	1.4156	2.5421	2.5421	4.0385
CLEC12A	2	10	1	2	3	1.4981	3.4918	3.4918	5.2063
KDM4D	10	11	0	0	4	0.6344	0	0	3.751
FBXO34	4	5	0	0	5	0.4103	0	0	3.0166
DCAF8L1	5	30	0	0	3	1.8162	0	0	2.0267
AC097381.1	1	13	2	0	1	2.4576	14.2015	14.2015	1.799
TFDP2	6	11	2	2	4	1.1311	2.6301	2.6301	4.4265
FNDC9	7	11	0	0	3	1.385	0	0	6.0563
FAM219A	2	0	1	0	1	0	2.8618	2.8618	2.5956
GALNT11	5	12	2	3	4	0.9495	3.1738	3.1738	2.9973
PODNL1	5	15	0	0	4	1.6014	0	0	3.9781
RHBDF2	17	12	0	0	1	0.4211	0	0	0.5667
VPS33A	5	15	5	0	3	1.4258	4.5592	4.5592	2.3525
GPR128	2	27	2	0	3	2.8754	1.6936	1.6936	1.8463
LAMC2	10	34	0	0	2	1.476	0	0	0.8737
SAP30L	1	5	3	0	1	1.869	9.6993	9.6993	2.8983
NAALAD2	6	38	1	0	2	2.1027	0.4132	0.4132	1.1797
ZSCAN32	0	14	0	0	3	2.6274	0	0	2.9001
SH2D3A	14	14	0	0	3	0.55	0	0	2.551
SMEK2	5	24	1	1	6	1.7065	1.2215	1.2215	3.576
ZNF483	13	17	0	0	3	0.5986	0	0	1.8497
UBA6	4	32	1	0	3	2.2124	0.4681	0.4681	1.5106
SPATA2L	5	7	0	0	3	0.9359	0	0	7.6254
KIDINS220	15	29	0	0	4	0.7285	0	0	1.1859
IL11	3	4	0	0	3	0.8326	0	0	7.4135
ID2	1	2	0	1	2	0.9824	9.1117	9.1117	8.4077
RARA	3	13	0	0	4	1.8206	0	0	3.7649
VRTN	17	33	1	0	6	1.1648	0.6681	0.6681	4.3341
PROM1	10	16	0	0	4	0.7056	0	0	2.3278
LRRC71	4	21	1	3	2	2.4196	4.3169	4.3169	1.7307
CXorf64	3	13	1	0	2	2.6117	2.7898	2.7898	4.4612
KDM5D	4	2	0	0	1	0.1417	0	0	0.2791
ZFP36	0	11	0	0	3	2.7064	0	0	3.7261
ZNF830	7	5	2	0	2	0.3454	1.8412	1.8412	3.0844
SLK	3	18	1	2	9	1.296	1.6422	1.6422	3.5433
NDUFS1	3	15	0	0	5	1.4182	0	0	2.9186
GCSAML	0	12	0	0	0	4.3072	0	0	0
WT1	8	32	1	0	1	2.4707	0.855	0.855	0.992
CCDC160	2	16	2	0	2	2.9063	4.2556	4.2556	2.3264
ADAM30	9	24	1	0	7	0.9806	0.5446	0.5446	4.045
IRF2	4	13	2	3	1	1.7202	6.4097	6.4097	1.0836
DTX3	5	7	0	0	4	0.837	0	0	5.3244
OR4A15	14	41	3	0	2	1.964	1.6246	1.6246	2.7285
BRD3	4	15	0	0	5	1.4757	0	0	3.5062
GRB14	13	20	0	0	3	0.7981	0	0	2.3511
PDE1A	3	34	1	3	0	3.1209	2.8212	2.8212	0
APITD1	0	0	0	0	2	0	0	0	5.6864
UBA7	11	5	1	0	0	0.2312	0.4396	0.4396	0
SPRR4	2	2	1	0	2	1.1452	4.5407	4.5407	11.3252
ABI2	1	15	0	0	3	2.2121	0	0	2.9355
CLHC1	0	14	0	0	3	2.4379	0	0	2.4694
SLC25A48	0	6	1	0	2	2.6644	5.4038	5.4038	6.4579
LHX1	7	13	3	0	3	1.1052	5.1088	5.1088	3.3089
RNF103	1	16	1	0	5	2.2328	1.298	1.298	3.4023
SMAD7	7	4	0	1	3	0.3415	1.1893	1.1893	3.638
USH2A	88	295	20	8	6	1.4194	1.2019	1.2019	0.5112
IVL	21	48	2	0	1	1.8959	0.6385	0.6385	0.7865
STK36	4	34	3	2	2	2.6956	3.5409	3.5409	0.6952
PRR23C	7	19	0	0	0	2.8913	0	0	0
EFCAB2	2	0	0	0	1	0	0	0	2.9383
MS4A8	3	14	1	1	1	3.0933	4.7011	4.7011	1.8614
MIDN	4	15	0	0	4	1.6554	0	0	4.0279
DDOST	8	3	0	0	2	0.2585	0	0	2.1044
CERS2	7	3	0	0	2	0.2815	0	0	2.4427
DPYD	18	61	6	6	3	1.5699	2.6926	2.6926	1.3271
RHEB	0	1	1	1	2	0.4474	5.113	5.113	5.0537
RASSF4	6	6	2	3	0	0.6152	4.8741	4.8741	0
LILRA2	17	37	1	0	3	1.5608	0.4207	0.4207	3.2311
NBPF8	0	0	0	0	0	0	0	0	0
YBX3	0	12	3	0	2	2.4108	6.9919	6.9919	2.6525
OR5F1	16	26	1	0	4	1.3294	1.3943	1.3943	5.3417
CDH6	24	67	2	0	2	1.5514	0.4091	0.4091	1.1134
C17orf66	4	8	3	2	3	0.8677	3.619	3.619	2.5582
NUTM1	8	42	5	0	2	2.1323	3.2322	3.2322	1.4099
RBM3	1	4	2	0	2	1.2851	6.0204	6.0204	6.285
MYCBPAP	7	34	5	3	0	1.9395	4.3281	4.3281	0
RP11-113D6.10	3	9	0	0	0	4.5556	0	0	0
IER2	2	5	1	0	3	1.0234	5.0841	5.0841	6.195
RPRD2	6	40	4	0	6	2.0763	2.6439	2.6439	1.9608
SH3BP1	10	10	0	0	4	0.5467	0	0	2.7624
SLC12A9	8	16	3	0	6	1.0195	3.0867	3.0867	3.2391
HIST1H4L	0	9	1	0	1	3.5661	9.1922	9.1922	3.9268
ZSWIM6	6	27	0	0	5	1.7566	0	0	1.9818
KLK1	5	4	0	0	3	0.4765	0	0	4.7999
